Measurement E9M1
Title: E-89-037 Electroproduction of the P33(1232) Resonance
Spokespersons: V. Burkert, R. Minehart
Year: 2002
Q^2 range: 0.35 - 0.45
E_beam is not available
Data:
W	epsilon	cos(theta_pi)	phi_pi	dsigma/dOmega	Data errors	Systematic errors
GeV	dimensionless	dimensionless	deg	mcbn/srad	mcbn/srad	mcbn/srad
1.1	0.877	-0.9	15	0.912	0.748	0.6368
1.1	0.877	-0.9	45	0.175	0.137	0.3287
1.1	0.877	-0.9	75	1.65	1.23	2.4818
1.1	0.877	-0.9	105	0.56	0.38	0.9026
1.1	0.877	-0.9	135	1.13	0.801	0.4312
1.1	0.877	-0.9	165	0.744	0.478	1.1645
1.1	0.877	-0.9	195	0.281	0.296	0.2205
1.1	0.877	-0.9	225	1.75	0.833	1.8899
1.1	0.877	-0.9	255	1.04	0.881	0.8025
1.1	0.877	-0.9	285	0.834	0.783	0.2761
1.1	0.877	-0.9	315	0.777	0.51	0.9002
1.1	0.877	-0.9	345	0.806	0.887	0.4468
1.1	0.877	-0.7	15	0.287	0.155	0.7734
1.1	0.877	-0.7	45	0.756	0.593	0.3382
1.1	0.877	-0.7	75	2.34	1.55	0.9909
1.1	0.877	-0.7	105	1.28	0.679	0.1796
1.1	0.877	-0.7	135	3.09	1.47	1.0298
1.1	0.877	-0.7	165	1.11	0.521	0.1459
1.1	0.877	-0.7	195	1.19	0.684	0.0541
1.1	0.877	-0.7	225	3.03	1.2	1.5266
1.1	0.877	-0.7	255	1.25	0.808	0.5324
1.1	0.877	-0.7	285	1.14	0.94	2.0296
1.1	0.877	-0.7	315	0.324	0.282	1.8813
1.1	0.877	-0.7	345	0.0792	0.0551	0.2689
1.1	0.877	-0.5	15	0.571	0.356	0.753
1.1	0.877	-0.5	45	1.32	0.812	0.56
1.1	0.877	-0.5	75	0.462	0.264	0.4323
1.1	0.877	-0.5	105	0.881	0.556	0.4066
1.1	0.877	-0.5	135	1.6	0.973	0.6711
1.1	0.877	-0.5	165	2.26	0.912	0.316
1.1	0.877	-0.5	195	2.33	0.869	0.2911
1.1	0.877	-0.5	225	0.742	0.414	0.2252
1.1	0.877	-0.5	255	0.355	0.377	0.2864
1.1	0.877	-0.5	285	2.29	1.23	0.9825
1.1	0.877	-0.5	315	0.212	0.171	0.2469
1.1	0.877	-0.5	345	1.34	1.52	0.6566
1.1	0.877	-0.3	15	0.91	0.552	0.4313
1.1	0.877	-0.3	45	2.22	1.84	0.9839
1.1	0.877	-0.3	75	1.45	0.932	0.4454
1.1	0.877	-0.3	105	8.13	3.67	2.5965
1.1	0.877	-0.3	135	0.629	0.28	0.521
1.1	0.877	-0.3	165	6.29	2.38	2.6355
1.1	0.877	-0.3	195	1.68	0.705	0.2641
1.1	0.877	-0.3	225	1.93	0.919	1.3013
1.1	0.877	-0.3	255	2.4	1.19	0.3294
1.1	0.877	-0.3	285	0.276	0.212	0.3987
1.1	0.877	-0.3	315	0.855	0.999	0.8863
1.1	0.877	-0.3	345	0.439	0.309	0.5658
1.1	0.877	-0.1	15	0.983	0.502	0.1884
1.1	0.877	-0.1	45	3.71	2.77	1.5463
1.1	0.877	-0.1	75	4.71	3.09	1.8925
1.1	0.877	-0.1	105	3.05	1.5	0.7362
1.1	0.877	-0.1	135	1.53	0.657	0.1965
1.1	0.877	-0.1	165	2.61	1.08	0.6082
1.1	0.877	-0.1	195	1.35	0.541	0.2778
1.1	0.877	-0.1	225	3.92	1.5	0.9911
1.1	0.877	-0.1	255	2.27	1.11	0.6992
1.1	0.877	-0.1	285	1.14	0.599	0.3422
1.1	0.877	-0.1	315	0.2	0.152	0.1308
1.1	0.877	-0.1	345	1.39	1.04	1.0365
1.1	0.877	0.1	15	2.88	1.6	1.066
1.1	0.877	0.1	45	0.356	0.27	0.0991
1.1	0.877	0.1	75	1.44	0.78	0.1774
1.1	0.877	0.1	105	1.44	0.545	0.5576
1.1	0.877	0.1	135	11.2	3.75	1.3471
1.1	0.877	0.1	165	2.58	0.85	0.2799
1.1	0.877	0.1	195	2.71	1	0.5359
1.1	0.877	0.1	225	3.37	1.46	0.4079
1.1	0.877	0.1	255	0.884	0.437	0.7626
1.1	0.877	0.1	285	1.38	0.571	1.1559
1.1	0.877	0.1	315	0.375	0.218	0.4432
1.1	0.877	0.1	345	0.755	0.5	0.3696
1.1	0.877	0.3	15	0.724	0.382	0.2435
1.1	0.877	0.3	45	2.06	1.07	0.533
1.1	0.877	0.3	75	2.57	1.31	0.3774
1.1	0.877	0.3	105	1.77	0.791	0.5156
1.1	0.877	0.3	135	2.1	0.663	0.8948
1.1	0.877	0.3	165	2.33	0.841	0.1877
1.1	0.877	0.3	195	5.26	2	1.6195
1.1	0.877	0.3	225	4.05	1.48	0.9336
1.1	0.877	0.3	255	1.15	0.502	0.6789
1.1	0.877	0.3	285	1.47	0.655	0.6394
1.1	0.877	0.3	315	1.69	0.964	0.7294
1.1	0.877	0.3	345	1.28	0.647	0.9834
1.1	0.877	0.5	15	2.37	1.27	0.7463
